id,generation,name,description,type1,type2,abilities,weight_kg,height_m,capture_rate,is_legendary,capture_date
30,1,Nidorina,Poison Pin Pokemon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",20.0,0.8,120,0,11/01/1996
31,1,Nidoqueen,Drill Pokemon,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",60.0,1.3,45,0,09/04/1996
32,1,Nidoran♂,Poison Pin Pokemon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",9.0,0.5,235,0,30/01/1996
33,1,Nidorino,Poison Pin Pokemon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",19.5,0.9,120,0,23/05/1996
34,1,Nidoking,Drill Pokemon,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",62.0,1.4,45,0,23/07/1996
35,1,Clefairy,Fairy Pokemon,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",7.5,0.6,150,0,17/01/1996
36,1,Clefable,Fairy Pokemon,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",40.0,1.3,25,0,19/04/1996
37,1,Vulpix,Fox Pokemon,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",,,190,0,02/04/1996
38,1,Ninetales,Fox Pokemon,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",,,75,0,20/05/1996
39,1,Jigglypuff,Balloon Pokemon,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",5.5,0.5,170,0,27/06/1996
40,1,Wigglytuff,Balloon Pokemon,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",12.0,1.0,50,0,03/02/1996
41,1,Zubat,Bat Pokemon,poison,flying,"['Inner Focus', 'Infiltrator']",7.5,0.8,255,0,06/09/1996
42,1,Golbat,Bat Pokemon,poison,flying,"['Inner Focus', 'Infiltrator']",55.0,1.6,90,0,03/10/1996
43,1,Oddish,Weed Pokemon,grass,poison,"['Chlorophyll', 'Run Away']",5.4,0.5,255,0,31/03/1996
44,1,Gloom,Weed Pokemon,grass,poison,"['Chlorophyll', 'Stench']",8.6,0.8,120,0,11/07/1996
45,1,Vileplume,Flower Pokemon,grass,poison,"['Chlorophyll', 'Effect Spore']",18.6,1.2,45,0,27/02/1996
46,1,Paras,Mushroom Pokemon,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",5.4,0.3,190,0,01/11/1996
47,1,Parasect,Mushroom Pokemon,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",29.5,1.0,75,0,04/04/1996
48,1,Venonat,Insect Pokemon,bug,poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",30.0,1.0,190,0,06/10/1996
49,1,Venomoth,Poison Moth Pokemon,bug,poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",12.5,1.5,75,0,14/04/1996
50,1,Diglett,Mole Pokemon,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",,,255,0,06/08/1996
51,1,Dugtrio,Mole Pokemon,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",,,50,0,10/01/1996
52,1,Meowth,Scratch Cat Pokemon,normal,dark,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",,,255,0,02/02/1996
53,1,Persian,Classy Cat Pokemon,normal,dark,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",,,90,0,01/12/1996
54,1,Psyduck,Duck Pokemon,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",19.6,0.8,190,0,30/09/1996
55,1,Golduck,Duck Pokemon,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",76.6,1.7,75,0,24/03/1996
56,1,Mankey,Pig Monkey Pokemon,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",28.0,0.5,190,0,02/05/1996
57,1,Primeape,Pig Monkey Pokemon,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",32.0,1.0,75,0,13/11/1996
58,1,Growlithe,Puppy Pokemon,fire,,"['Intimidate', 'Flash Fire', 'Justified']",19.0,0.7,190,0,25/07/1996
59,1,Arcanine,Legendary Pokemon,fire,,"['Intimidate', 'Flash Fire', 'Justified']",155.0,1.9,75,0,09/05/1996
60,1,Poliwag,Tadpole Pokemon,water,,"['Water Absorb', 'Damp', 'Swift Swim']",12.4,0.6,255,0,02/01/1996
61,1,Poliwhirl,Tadpole Pokemon,water,,"['Water Absorb', 'Damp', 'Swift Swim']",20.0,1.0,120,0,24/10/1996
62,1,Poliwrath,Tadpole Pokemon,water,fighting,"['Water Absorb', 'Damp', 'Swift Swim']",54.0,1.3,45,0,26/08/1996
63,1,Abra,Psi Pokemon,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",19.5,0.9,200,0,29/11/1996
64,1,Kadabra,Psi Pokemon,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",56.5,1.3,100,0,17/07/1996
65,1,Alakazam,Psi Pokemon,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",48.0,1.5,50,0,01/05/1996
66,1,Machop,Superpower Pokemon,fighting,,"['Guts', 'No Guard', 'Steadfast']",19.5,0.8,180,0,14/06/1996
67,1,Machoke,Superpower Pokemon,fighting,,"['Guts', 'No Guard', 'Steadfast']",70.5,1.5,90,0,06/08/1996
68,1,Machamp,Superpower Pokemon,fighting,,"['Guts', 'No Guard', 'Steadfast']",130.0,1.6,45,0,28/09/1996
69,1,Bellsprout,Flower Pokemon,grass,poison,"['Chlorophyll', 'Gluttony']",4.0,0.7,255,0,22/05/1996
70,1,Weepinbell,Flycatcher Pokemon,grass,poison,"['Chlorophyll', 'Gluttony']",6.4,1.0,120,0,08/10/1996
71,1,Victreebel,Flycatcher Pokemon,grass,poison,"['Chlorophyll', 'Gluttony']",15.5,1.7,45,0,10/07/1996
72,1,Tentacool,Jellyfish Pokemon,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",45.5,0.9,190,0,01/09/1996
73,1,Tentacruel,Jellyfish Pokemon,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",55.0,1.6,60,0,19/06/1996
74,1,Geodude,Rock Pokemon,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",,,255,0,15/06/1996
75,1,Graveler,Rock Pokemon,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",,,120,0,05/05/1996
76,1,Golem,Megaton Pokemon,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",,,45,0,27/11/1996
77,1,Ponyta,Fire Horse Pokemon,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",30.0,1.0,190,0,24/06/1996
78,1,Rapidash,Fire Horse Pokemon,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",95.0,1.7,60,0,19/04/1996
79,1,Slowpoke,Dopey Pokemon,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",36.0,1.2,190,0,30/04/1996
80,1,Slowbro,Hermit Crab Pokemon,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",78.5,1.6,75,0,12/03/1996
81,1,Magnemite,Magnet Pokemon,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",6.0,0.3,190,0,05/10/1996
82,1,Magneton,Magnet Pokemon,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",60.0,1.0,60,0,23/02/1996
83,1,Farfetch'd,Wild Duck Pokemon,normal,flying,"['Keen Eye', 'Inner Focus', 'Defiant']",15.0,0.8,45,0,25/02/1996
84,1,Doduo,Twin Bird Pokemon,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",39.2,1.4,190,0,21/01/1996
85,1,Dodrio,Triple Bird Pokemon,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",85.2,1.8,45,0,06/10/1996
86,1,Seel,Sea Lion Pokemon,water,,"['Thick Fat', 'Hydration', 'Ice Body']",90.0,1.1,190,0,14/05/1996
87,1,Dewgong,Sea Lion Pokemon,water,ice,"['Thick Fat', 'Hydration', 'Ice Body']",120.0,1.7,75,0,03/09/1996
88,1,Grimer,Sludge Pokemon,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",,,190,0,24/01/1996
89,1,Muk,Sludge Pokemon,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",,,75,0,12/11/1996
90,1,Shellder,Bivalve Pokemon,water,,"['Shell Armor', 'Skill Link', 'Overcoat']",4.0,0.3,190,0,23/09/1996
91,1,Cloyster,Bivalve Pokemon,water,ice,"['Shell Armor', 'Skill Link', 'Overcoat']",132.5,1.5,60,0,05/06/1996
92,1,Gastly,Gas Pokemon,ghost,poison,"['Levitate']",0.1,1.3,190,0,31/03/1996
93,1,Haunter,Gas Pokemon,ghost,poison,"['Levitate']",0.1,1.6,90,0,26/11/1996
94,1,Gengar,Shadow Pokemon,ghost,poison,"['Cursed Body']",40.5,1.5,45,0,28/03/1996
95,1,Onix,Rock Snake Pokemon,rock,ground,"['Rock Head', 'Sturdy', 'Weak Armor']",210.0,8.8,45,0,28/03/1996
96,1,Drowzee,Hypnosis Pokemon,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",32.4,1.0,190,0,15/12/1996
97,1,Hypno,Hypnosis Pokemon,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",75.6,1.6,75,0,06/03/1996
98,1,Krabby,River Crab Pokemon,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",6.5,0.4,225,0,11/04/1996
99,1,Kingler,Pincer Pokemon,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",60.0,1.3,60,0,03/08/1996
100,1,Voltorb,Ball Pokemon,electric,,"['Soundproof', 'Static', 'Aftermath']",10.4,0.5,190,0,13/09/1996
101,1,Electrode,Ball Pokemon,electric,,"['Soundproof', 'Static', 'Aftermath']",66.6,1.2,60,0,14/03/1996
102,1,Exeggcute,Egg Pokemon,grass,psychic,"['Chlorophyll', 'Harvest']",2.5,0.4,90,0,11/07/1996
103,1,Exeggutor,Coconut Pokemon,grass,psychic,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",,,45,0,30/06/1996
104,1,Cubone,Lonely Pokemon,ground,,"['Rock Head', 'Lightningrod', 'Battle Armor']",6.5,0.4,190,0,27/04/1996
105,1,Marowak,Bone Keeper Pokemon,ground,fire,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",,,75,0,29/02/1996
106,1,Hitmonlee,Kicking Pokemon,fighting,,"['Limber', 'Reckless', 'Unburden']",49.8,1.5,45,0,11/09/1996
107,1,Hitmonchan,Punching Pokemon,fighting,,"['Keen Eye', 'Iron Fist', 'Inner Focus']",50.2,1.4,45,0,10/10/1996
108,1,Lickitung,Licking Pokemon,normal,,"['Own Tempo', 'Oblivious', 'Cloud Nine']",65.5,1.2,45,0,10/07/1996
109,1,Koffing,Poison Gas Pokemon,poison,,"['Levitate']",1.0,0.6,190,0,14/12/1996
110,1,Weezing,Poison Gas Pokemon,poison,,"['Levitate']",9.5,1.2,60,0,19/03/1996
111,1,Rhyhorn,Spikes Pokemon,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",115.0,1.0,120,0,21/11/1996
112,1,Rhydon,Drill Pokemon,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",120.0,1.9,60,0,28/03/1996
113,1,Chansey,Egg Pokemon,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",34.6,1.1,30,0,02/06/1996
114,1,Tangela,Vine Pokemon,grass,,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",35.0,1.0,45,0,30/09/1996
115,1,Kangaskhan,Parent Pokemon,normal,,"['Early Bird', 'Scrappy', 'Inner Focus']",80.0,2.2,45,0,17/04/1996
116,1,Horsea,Dragon Pokemon,water,,"['Swift Swim', 'Sniper', 'Damp']",8.0,0.4,225,0,21/04/1996
117,1,Seadra,Dragon Pokemon,water,,"['Poison Point', 'Sniper', 'Damp']",25.0,1.2,75,0,27/12/1996
118,1,Goldeen,Goldfish Pokemon,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",15.0,0.6,225,0,17/12/1996
119,1,Seaking,Goldfish Pokemon,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",39.0,1.3,60,0,12/07/1996
120,1,Staryu,Starshape Pokemon,water,,"['Illuminate', 'Natural Cure', 'Analytic']",34.5,0.8,225,0,06/05/1996
121,1,Starmie,Mysterious Pokemon,water,psychic,"['Illuminate', 'Natural Cure', 'Analytic']",80.0,1.1,60,0,06/03/1996
122,1,Mr. Mime,Barrier Pokemon,psychic,fairy,"['Soundproof', 'Filter', 'Technician']",54.5,1.3,45,0,24/09/1996
123,1,Scyther,Mantis Pokemon,bug,flying,"['Swarm', 'Technician', 'Steadfast']",56.0,1.5,45,0,22/09/1996
124,1,Jynx,Humanshape Pokemon,ice,psychic,"['Oblivious', 'Forewarn', 'Dry Skin']",40.6,1.4,45,0,17/03/1996
125,1,Electabuzz,Electric Pokemon,electric,,"['Static', 'Vital Spirit']",30.0,1.1,45,0,03/12/1996
126,1,Magmar,Spitfire Pokemon,fire,,"['Flame Body', 'Vital Spirit']",44.5,1.3,45,0,16/03/1996
127,1,Pinsir,Stagbeetle Pokemon,bug,,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",55.0,1.5,45,0,19/03/1996
128,1,Tauros,Wild Bull Pokemon,normal,,"['Intimidate', 'Anger Point', 'Sheer Force']",88.4,1.4,45,0,02/03/1996
129,1,Magikarp,Fish Pokemon,water,,"['Swift Swim', 'Rattled']",10.0,0.9,255,0,30/03/1996
130,1,Gyarados,Atrocious Pokemon,water,flying,"['Intimidate', 'Moxie']",235.0,6.5,45,0,20/01/1996
131,1,Lapras,Transport Pokemon,water,ice,"['Water Absorb', 'Shell Armor', 'Hydration']",220.0,2.5,45,0,15/04/1996
132,1,Ditto,Transform Pokemon,normal,,"['Limber', 'Imposter']",4.0,0.3,35,0,15/01/1996
133,1,Eevee,Evolution Pokemon,normal,,"['Run Away', 'Adaptability', 'Anticipation']",6.5,0.3,45,0,07/04/1996
134,1,Vaporeon,Bubble Jet Pokemon,water,,"['Water Absorb', 'Hydration']",29.0,1.0,45,0,14/01/1996
135,1,Jolteon,Lightning Pokemon,electric,,"['Volt Absorb', 'Quick Feet']",24.5,0.8,45,0,01/02/1996
136,1,Flareon,Flame Pokemon,fire,,"['Flash Fire', 'Guts']",25.0,0.9,45,0,25/05/1996
137,1,Porygon,Virtual Pokemon,normal,,"['Trace', 'Download', 'Analytic']",36.5,0.8,45,0,06/06/1996
138,1,Omanyte,Spiral Pokemon,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",7.5,0.4,45,0,25/07/1996
139,1,Omastar,Spiral Pokemon,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",35.0,1.0,45,0,12/06/1996
140,1,Kabuto,Shellfish Pokemon,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",11.5,0.5,45,0,08/09/1996
141,1,Kabutops,Shellfish Pokemon,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",40.5,1.3,45,0,30/09/1996
142,1,Aerodactyl,Fossil Pokemon,rock,flying,"['Rock Head', 'Pressure', 'Unnerve']",59.0,1.8,45,0,22/02/1996
143,1,Snorlax,Sleeping Pokemon,normal,,"['Immunity', 'Thick Fat', 'Gluttony']",460.0,2.1,25,0,25/07/1996
144,1,Articuno,Freeze Pokemon,ice,flying,"['Pressure', 'Snow Cloak']",55.4,1.7,3,1,01/11/1996
145,1,Zapdos,Electric Pokemon,electric,flying,"['Pressure', 'Static']",52.6,1.6,3,1,08/07/1996
146,1,Moltres,Flame Pokemon,fire,flying,"['Pressure', 'Flame Body']",60.0,2.0,3,1,22/04/1996
147,1,Dratini,Dragon Pokemon,dragon,,"['Shed Skin', 'Marvel Scale']",3.3,1.8,45,0,12/09/1996
148,1,Dragonair,Dragon Pokemon,dragon,,"['Shed Skin', 'Marvel Scale']",16.5,4.0,45,0,02/06/1996
149,1,Dragonite,Dragon Pokemon,dragon,flying,"['Inner Focus', 'Multiscale']",210.0,2.2,45,0,21/01/1996
150,1,Mewtwo,Genetic Pokemon,psychic,,"['Pressure', 'Unnerve']",122.0,2.0,3,1,19/03/1996
151,1,Mew,New Species Pokemon,psychic,,"['Synchronize']",4.0,0.4,45,1,21/08/2001
152,2,Chikorita,Leaf Pokemon,grass,,"['Overgrow', 'Leaf Guard']",6.4,0.9,45,0,03/07/1999
153,2,Bayleef,Leaf Pokemon,grass,,"['Overgrow', 'Leaf Guard']",15.8,1.2,45,0,17/10/1999
154,2,Meganium,Herb Pokemon,grass,,"['Overgrow', 'Leaf Guard']",100.5,1.8,45,0,24/01/1999
155,2,Cyndaquil,Fire Mouse Pokemon,fire,,"['Blaze', 'Flash Fire']",7.9,0.5,45,0,05/04/1999
156,2,Quilava,Volcano Pokemon,fire,,"['Blaze', 'Flash Fire']",19.0,0.9,45,0,11/11/1999
157,2,Typhlosion,Volcano Pokemon,fire,,"['Blaze', 'Flash Fire']",79.5,1.7,45,0,29/01/1999
158,2,Totodile,Big Jaw Pokemon,water,,"['Torrent', 'Sheer Force']",9.5,0.6,45,0,26/01/1999
159,2,Croconaw,Big Jaw Pokemon,water,,"['Torrent', 'Sheer Force']",25.0,1.1,45,0,07/11/1999
160,2,Feraligatr,Big Jaw Pokemon,water,,"['Torrent', 'Sheer Force']",88.8,2.3,45,0,26/09/1999
161,2,Sentret,Scout Pokemon,normal,,"['Run Away', 'Keen Eye', 'Frisk']",6.0,0.8,255,0,09/10/1999
162,2,Furret,Long Body Pokemon,normal,,"['Run Away', 'Keen Eye', 'Frisk']",32.5,1.8,90,0,14/11/1999
163,2,Hoothoot,Owl Pokemon,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",21.2,0.7,255,0,13/12/1999
164,2,Noctowl,Owl Pokemon,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",40.8,1.6,90,0,23/07/1999
165,2,Ledyba,Five Star Pokemon,bug,flying,"['Swarm', 'Early Bird', 'Rattled']",10.8,1.0,255,0,17/11/1999
166,2,Ledian,Five Star Pokemon,bug,flying,"['Swarm', 'Early Bird', 'Iron Fist']",35.6,1.4,90,0,19/09/1999
167,2,Spinarak,String Spit Pokemon,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",8.5,0.5,255,0,04/03/1999
168,2,Ariados,Long Leg Pokemon,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",33.5,1.1,90,0,29/09/1999
169,2,Crobat,Bat Pokemon,poison,flying,"['Inner Focus', 'Infiltrator']",75.0,1.8,90,0,23/10/1999
170,2,Chinchou,Angler Pokemon,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",12.0,0.5,190,0,19/10/1999
171,2,Lanturn,Light Pokemon,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",22.5,1.2,75,0,04/08/1999
172,2,Pichu,Tiny Mouse Pokemon,electric,,"['Static', 'Lightningrod']",2.0,0.3,190,0,19/07/1999
173,2,Cleffa,Star Shape Pokemon,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",3.0,0.3,150,0,11/09/1999
174,2,Igglybuff,Balloon Pokemon,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",1.0,0.3,170,0,05/04/1999
175,2,Togepi,Spike Ball Pokemon,fairy,,"['Hustle', 'Serene Grace', 'Super Luck']",1.5,0.3,190,0,24/07/1999
176,2,Togetic,Happiness Pokemon,fairy,flying,"['Hustle', 'Serene Grace', 'Super Luck']",3.2,0.6,75,0,07/11/1999
177,2,Natu,Little Bird Pokemon,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",2.0,0.2,190,0,20/03/1999
178,2,Xatu,Mystic Pokemon,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",15.0,1.5,75,0,15/08/1999
179,2,Mareep,Wool Pokemon,electric,,"['Static', 'Plus']",7.8,0.6,235,0,06/03/1999
180,2,Flaaffy,Wool Pokemon,electric,,"['Static', 'Plus']",13.3,0.8,120,0,12/09/1999
181,2,Ampharos,Light Pokemon,electric,,"['Static', 'Plus']",61.5,1.4,45,0,25/05/1999
182,2,Bellossom,Flower Pokemon,grass,,"['Chlorophyll', 'Healer']",5.8,0.4,45,0,31/05/1999
183,2,Marill,Aquamouse Pokemon,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",8.5,0.4,190,0,01/05/1999
184,2,Azumarill,Aquarabbit Pokemon,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",28.5,0.8,75,0,08/07/1999
185,2,Sudowoodo,Imitation Pokemon,rock,,"['Sturdy', 'Rock Head', 'Rattled']",38.0,1.2,65,0,26/08/1999
186,2,Politoed,Frog Pokemon,water,,"['Water Absorb', 'Damp', 'Drizzle']",33.9,1.1,45,0,06/07/1999
187,2,Hoppip,Cottonweed Pokemon,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",0.5,0.4,255,0,02/10/1999
188,2,Skiploom,Cottonweed Pokemon,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,0.6,120,0,17/08/1999
189,2,Jumpluff,Cottonweed Pokemon,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",3.0,0.8,45,0,15/05/1999
190,2,Aipom,Long Tail Pokemon,normal,,"['Run Away', 'Pickup', 'Skill Link']",11.5,0.8,45,0,31/10/1999
191,2,Sunkern,Seed Pokemon,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",1.8,0.3,235,0,15/02/1999
192,2,Sunflora,Sun Pokemon,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",8.5,0.8,120,0,06/01/1999
193,2,Yanma,Clear Wing Pokemon,bug,flying,"['Speed Boost', 'Compoundeyes', 'Frisk']",38.0,1.2,75,0,21/11/1999
194,2,Wooper,Water Fish Pokemon,water,ground,"['Damp', 'Water Absorb', 'Unaware']",8.5,0.4,255,0,27/05/1999
195,2,Quagsire,Water Fish Pokemon,water,ground,"['Damp', 'Water Absorb', 'Unaware']",75.0,1.4,90,0,15/12/1999
196,2,Espeon,Sun Pokemon,psychic,,"['Synchronize', 'Magic Bounce']",26.5,0.9,45,0,13/06/1999
197,2,Umbreon,Moonlight Pokemon,dark,,"['Synchronize', 'Inner Focus']",27.0,1.0,45,0,03/01/1999
198,2,Murkrow,Darkness Pokemon,dark,flying,"['Insomnia', 'Super Luck', 'Prankster']",2.1,0.5,30,0,08/09/1999
199,2,Slowking,Royal Pokemon,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",79.5,2.0,70,0,19/04/1999
200,2,Misdreavus,Screech Pokemon,ghost,,"['Levitate']",1.0,0.7,45,0,20/03/1999
201,2,Unown,Symbol Pokemon,psychic,,"['Levitate']",5.0,0.5,225,0,17/01/1999
202,2,Wobbuffet,Patient Pokemon,psychic,,"['Shadow Tag', 'Telepathy']",28.5,1.3,45,0,03/07/1999
203,2,Girafarig,Long Neck Pokemon,normal,psychic,"['Inner Focus', 'Early Bird', 'Sap Sipper']",41.5,1.5,60,0,25/01/1999
204,2,Pineco,Bagworm Pokemon,bug,,"['Sturdy', 'Overcoat']",7.2,0.6,190,0,16/07/1999
205,2,Forretress,Bagworm Pokemon,bug,steel,"['Sturdy', 'Overcoat']",125.8,1.2,75,0,18/07/1999
